epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7728,1.3575,12.3049,0.02404,0.38452,0.45354,0.0668,0.03755,2.19018,21.8575,0.05314,0.00026,0.00026,0.08726
2,39.8463,1.29384,2.45741,0.02098,0.51926,0.15625,0.01662,0.00396,3.05578,8.62792,0.0689,0.000539979,0.000539979,0.07354
3,46.723,1.26114,1.77631,0.01911,0.56868,0.13541,0.06466,0.0211,2.59136,7.27693,0.05499,0.000819872,0.000819872,0.0598199
4,53.3826,1.24838,1.67194,0.01919,0.08813,0.41512,0.07811,0.02634,2.90009,7.15516,0.06412,0.00109961,0.00109961,0.0460996
5,61.4937,1.27544,1.61862,0.01979,0.69627,0.29279,0.31639,0.11917,2.41007,6.06699,0.05392,0.00137914,0.00137914,0.0323791
6,68.4579,1.31134,1.54478,0.01995,0.73674,0.58276,0.64545,0.31929,1.77709,2.69361,0.03478,0.00165838,0.00165838,0.0186584
7,75.5578,1.3236,1.55617,0.01988,0.50655,0.49312,0.45432,0.22314,1.85732,3.15614,0.03459,0.00193727,0.00193727,0.00493727
8,84.9056,1.32605,1.55041,0.02024,0.68333,0.61071,0.6317,0.29225,1.87716,2.94734,0.03817,0.00199617,0.00199617,0.00199617
9,93.032,1.33926,1.59229,0.01963,0.62824,0.55349,0.57165,0.26374,1.91377,2.63721,0.03782,0.001995,0.001995,0.001995
10,99.7519,1.31634,1.6369,0.02028,0.51283,0.49529,0.45784,0.24575,1.87067,3.26545,0.03263,0.00199368,0.00199368,0.00199368
11,107.576,1.29983,1.53373,0.01917,0.53927,0.59999,0.54932,0.30238,1.74295,2.39804,0.03145,0.00199219,0.00199219,0.00199219
12,115.602,1.25619,1.52453,0.01865,0.76857,0.6408,0.68739,0.35236,1.73953,2.26886,0.03273,0.00199056,0.00199056,0.00199056
13,123.2,1.28555,1.46624,0.01911,0.57714,0.61864,0.60511,0.32002,1.78756,2.44382,0.03442,0.00198877,0.00198877,0.00198877
14,130.05,1.29377,1.47476,0.01918,0.77603,0.61642,0.69391,0.36264,1.79673,2.47139,0.03436,0.00198682,0.00198682,0.00198682
15,136.96,1.24728,1.47329,0.0181,0.68072,0.63225,0.6603,0.37214,1.65165,2.33822,0.02863,0.00198472,0.00198472,0.00198472
16,144.095,1.21039,1.36363,0.01706,0.66747,0.57403,0.60124,0.30031,1.85095,3.02107,0.03283,0.00198246,0.00198246,0.00198246
17,152.294,1.24929,1.31924,0.01843,0.70259,0.71984,0.71789,0.45834,1.58539,2.43848,0.02632,0.00198006,0.00198006,0.00198006
18,159.181,1.24474,1.3654,0.01753,0.75135,0.69724,0.71875,0.28798,1.95327,2.26141,0.04346,0.0019775,0.0019775,0.0019775
19,166.084,1.27804,1.38049,0.01877,0.84644,0.68258,0.75951,0.39899,1.7531,2.15123,0.03348,0.00197478,0.00197478,0.00197478
20,172.901,1.27194,1.4488,0.0182,0.66441,0.66239,0.66421,0.40782,1.62798,2.37845,0.02729,0.00197192,0.00197192,0.00197192
21,179.689,1.24159,1.37673,0.01775,0.79654,0.62005,0.71623,0.44594,1.68917,2.18843,0.02784,0.0019689,0.0019689,0.0019689
22,186.754,1.24252,1.37114,0.01768,0.77623,0.63898,0.72071,0.42324,1.74138,2.33993,0.03019,0.00196573,0.00196573,0.00196573
23,193.621,1.22669,1.33167,0.01649,0.63901,0.60227,0.57944,0.27797,1.81154,2.94434,0.03537,0.00196241,0.00196241,0.00196241
24,200.407,1.22026,1.339,0.0179,0.80709,0.75797,0.80635,0.51004,1.55105,1.73849,0.025,0.00195894,0.00195894,0.00195894
25,207.51,1.22019,1.31255,0.01715,0.72034,0.68744,0.70861,0.42143,1.66611,2.65372,0.02748,0.00195532,0.00195532,0.00195532
26,214.42,1.24807,1.36344,0.01798,0.78007,0.70715,0.76999,0.45557,1.61159,2.03213,0.02742,0.00195155,0.00195155,0.00195155
