epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.98,1.77554,5.46608,0.0174,0.48239,0.18814,0.17882,0.11112,2.16412,48.0031,0.0207,0.00021,0.00021,0.07921
2,20.9289,1.48844,1.7266,0.01287,0.49735,0.30678,0.25889,0.18419,1.59435,8.60679,0.01314,0.000429968,0.000429968,0.05743
3,26.5471,1.41574,1.49495,0.01209,0.59087,0.38136,0.36934,0.27311,1.4496,2.78934,0.01097,0.000649804,0.000649804,0.0356498
4,32.2874,1.35192,1.27648,0.01137,0.58243,0.4322,0.46216,0.30377,1.38542,1.87607,0.01058,0.00086941,0.00086941,0.0138694
5,37.8602,1.36204,1.16326,0.01151,0.61917,0.53898,0.53883,0.34521,1.42077,1.45775,0.01069,0.000998794,0.000998794,0.000998794
6,43.2779,1.31055,1.10274,0.0111,0.64123,0.53729,0.58054,0.3914,1.33639,1.32268,0.00991,0.000998116,0.000998116,0.000998116
7,48.7223,1.32439,1.044,0.01131,0.68397,0.54068,0.57724,0.40061,1.37062,1.46798,0.01029,0.000997288,0.000997288,0.000997288
8,54.1155,1.27968,0.96639,0.01049,0.63862,0.65593,0.63323,0.39461,1.37033,1.15591,0.01016,0.00099631,0.00099631,0.00099631
9,59.3922,1.26458,0.9942,0.01031,0.67829,0.62712,0.65173,0.43438,1.33403,1.14002,0.00997,0.000995183,0.000995183,0.000995183
10,64.8172,1.24026,0.94379,0.01014,0.65755,0.7,0.68528,0.46109,1.2808,1.0535,0.00966,0.000993906,0.000993906,0.000993906
11,70.2128,1.24989,0.89232,0.01016,0.6915,0.57458,0.6103,0.39271,1.44101,1.23299,0.01039,0.00099248,0.00099248,0.00099248
12,75.8273,1.22618,0.88545,0.00986,0.65141,0.58305,0.59533,0.38477,1.38927,1.30028,0.01027,0.000990905,0.000990905,0.000990905
13,81.8793,1.20682,0.89921,0.0096,0.70933,0.69153,0.69976,0.46668,1.2476,1.23647,0.00915,0.000989183,0.000989183,0.000989183
14,87.2739,1.22977,0.88966,0.0097,0.7529,0.68687,0.72425,0.4894,1.29269,1.16122,0.00913,0.000987313,0.000987313,0.000987313
15,92.667,1.20917,0.82696,0.00962,0.77209,0.64915,0.70752,0.47039,1.27772,1.05492,0.00933,0.000985296,0.000985296,0.000985296
16,97.988,1.17301,0.77711,0.00926,0.74903,0.68796,0.71753,0.48308,1.26801,0.96369,0.00868,0.000983133,0.000983133,0.000983133
17,103.145,1.18772,0.76651,0.00934,0.80298,0.67696,0.7357,0.46974,1.30428,1.03568,0.00921,0.000980825,0.000980825,0.000980825
18,108.452,1.17101,0.7595,0.009,0.72412,0.74407,0.74042,0.47578,1.29974,0.98803,0.00932,0.000978371,0.000978371,0.000978371
19,113.721,1.13882,0.7369,0.00876,0.74939,0.73998,0.75365,0.47607,1.28887,0.96219,0.00913,0.000975773,0.000975773,0.000975773
20,118.909,1.13227,0.74966,0.00892,0.76042,0.69935,0.7451,0.47962,1.36712,0.9151,0.01012,0.000973032,0.000973032,0.000973032
21,124.083,1.12149,0.75972,0.00861,0.74073,0.72152,0.71928,0.49343,1.18443,0.95956,0.00776,0.000970148,0.000970148,0.000970148
22,129.995,1.11118,0.71321,0.00855,0.76357,0.75085,0.7589,0.49953,1.22353,0.91675,0.00867,0.000967122,0.000967122,0.000967122
23,135.365,1.11788,0.69725,0.00856,0.71807,0.69933,0.69416,0.47376,1.2149,1.03654,0.00891,0.000963956,0.000963956,0.000963956
24,140.685,1.10237,0.7016,0.00848,0.7646,0.72117,0.76329,0.50471,1.18647,0.98036,0.00818,0.00096065,0.00096065,0.00096065
25,147.761,1.11748,0.69208,0.00879,0.75964,0.7553,0.75685,0.50191,1.23045,0.88944,0.00839,0.000957205,0.000957205,0.000957205
26,153.094,1.07869,0.69786,0.00807,0.67991,0.71695,0.68737,0.45732,1.3143,1.10074,0.00967,0.000953622,0.000953622,0.000953622
27,158.281,1.08182,0.69853,0.0082,0.73331,0.79694,0.77059,0.51097,1.2509,0.87042,0.00881,0.000949903,0.000949903,0.000949903
28,163.612,1.07631,0.66384,0.00806,0.75762,0.75593,0.74871,0.49932,1.194,0.90637,0.00816,0.000946048,0.000946048,0.000946048
29,168.882,1.07767,0.65519,0.00829,0.76856,0.74915,0.75132,0.50783,1.20021,0.90768,0.00867,0.000942059,0.000942059,0.000942059
30,174.051,1.06552,0.64949,0.00787,0.79157,0.72094,0.76168,0.51363,1.24841,0.88805,0.00865,0.000937937,0.000937937,0.000937937
31,179.608,1.0614,0.6464,0.00783,0.77054,0.70678,0.74347,0.49883,1.19937,0.91102,0.00824,0.000933683,0.000933683,0.000933683
32,185.123,1.06608,0.63788,0.00799,0.77714,0.69152,0.72043,0.48765,1.23185,1.00329,0.00867,0.000929298,0.000929298,0.000929298
33,191.883,1.07572,0.62672,0.0081,0.74584,0.76594,0.75192,0.50268,1.25369,0.90749,0.00862,0.000924784,0.000924784,0.000924784
34,197.1,1.0701,0.63645,0.00818,0.74827,0.72203,0.73689,0.49459,1.23844,0.96334,0.00845,0.000920142,0.000920142,0.000920142
35,202.351,1.068,0.64502,0.00802,0.71929,0.72881,0.72174,0.493,1.20003,0.95159,0.00827,0.000915374,0.000915374,0.000915374
36,207.594,1.03124,0.62135,0.00774,0.76647,0.72874,0.7537,0.50736,1.19931,0.92529,0.00867,0.00091048,0.00091048,0.00091048
37,212.808,1.04101,0.641,0.00768,0.76799,0.74746,0.77283,0.5217,1.19213,0.87965,0.00825,0.000905463,0.000905463,0.000905463
38,218.307,1.01158,0.6001,0.00748,0.75693,0.7661,0.76254,0.52133,1.19521,0.95402,0.00806,0.000900325,0.000900325,0.000900325
39,223.511,1.0196,0.59611,0.00734,0.7419,0.7678,0.76691,0.50363,1.2652,0.9399,0.00915,0.000895065,0.000895065,0.000895065
40,230.222,1.02392,0.5986,0.00761,0.75102,0.74576,0.75872,0.47809,1.25162,0.92072,0.0085,0.000889687,0.000889687,0.000889687
41,235.428,1.02247,0.57433,0.0077,0.77761,0.72712,0.73455,0.49368,1.19813,0.91244,0.00827,0.000884192,0.000884192,0.000884192
42,241.063,0.99809,0.57388,0.00742,0.77438,0.72134,0.73917,0.48964,1.26314,0.89229,0.00888,0.000878581,0.000878581,0.000878581
43,246.237,1.0106,0.57287,0.00746,0.7546,0.7453,0.75008,0.4857,1.2389,0.93879,0.00809,0.000872857,0.000872857,0.000872857
44,251.359,1.00686,0.59319,0.00727,0.77811,0.75085,0.77003,0.50773,1.18466,0.90791,0.00795,0.00086702,0.00086702,0.00086702
45,256.533,0.97825,0.56329,0.00719,0.76014,0.7339,0.74887,0.51305,1.18339,0.95862,0.00785,0.000861073,0.000861073,0.000861073
46,261.697,1.00717,0.57002,0.00722,0.79011,0.7339,0.74004,0.49931,1.23174,0.97538,0.00796,0.000855018,0.000855018,0.000855018
47,266.975,0.99552,0.55303,0.00723,0.80611,0.74576,0.7627,0.51435,1.22065,0.91443,0.00808,0.000848856,0.000848856,0.000848856
48,272.24,0.97253,0.55242,0.00709,0.753,0.74407,0.75135,0.50716,1.22836,0.94629,0.00833,0.000842589,0.000842589,0.000842589
49,277.427,0.96085,0.51786,0.00684,0.74937,0.77458,0.75548,0.51073,1.13987,0.86827,0.00752,0.00083622,0.00083622,0.00083622
50,282.723,0.95916,0.54254,0.00684,0.73157,0.80339,0.75949,0.52646,1.09585,0.84037,0.00711,0.000829749,0.000829749,0.000829749
51,288.213,0.9385,0.53608,0.00661,0.75611,0.7339,0.74233,0.51043,1.14126,0.89744,0.00756,0.00082318,0.00082318,0.00082318
52,293.792,0.94841,0.52062,0.00672,0.78636,0.73729,0.74435,0.49096,1.19136,0.92711,0.00772,0.000816514,0.000816514,0.000816514
53,299.199,0.95241,0.52332,0.00673,0.80239,0.74746,0.77191,0.54224,1.14367,0.86432,0.00754,0.000809752,0.000809752,0.000809752
54,304.753,0.96087,0.51145,0.00698,0.72952,0.7661,0.74939,0.51273,1.21298,0.936,0.00798,0.000802898,0.000802898,0.000802898
55,309.861,0.96561,0.48625,0.00692,0.77424,0.76729,0.76535,0.54581,1.14648,0.84516,0.00777,0.000795954,0.000795954,0.000795954
56,315.218,0.92118,0.47769,0.00645,0.79064,0.75424,0.76737,0.53458,1.14798,0.83947,0.00766,0.00078892,0.00078892,0.00078892
57,320.558,0.92468,0.49986,0.00653,0.79256,0.77966,0.76271,0.52224,1.19388,0.88866,0.00803,0.0007818,0.0007818,0.0007818
58,327.445,0.93672,0.47857,0.0065,0.77594,0.75254,0.74892,0.52004,1.17581,0.89132,0.00786,0.000774596,0.000774596,0.000774596
59,332.681,0.93155,0.47605,0.00667,0.79519,0.70508,0.73792,0.50168,1.16306,1.00849,0.00777,0.00076731,0.00076731,0.00076731
60,337.867,0.92057,0.49426,0.00677,0.75976,0.76649,0.74974,0.52176,1.16043,0.88103,0.00758,0.000759944,0.000759944,0.000759944
61,343.117,0.9233,0.47369,0.00662,0.79574,0.76441,0.76871,0.5235,1.17435,0.83579,0.00773,0.0007525,0.0007525,0.0007525
62,348.604,0.89628,0.45027,0.00636,0.78551,0.73245,0.75911,0.52075,1.20547,0.92016,0.00804,0.000744981,0.000744981,0.000744981
63,353.814,0.91599,0.47446,0.00633,0.75217,0.78192,0.77626,0.54184,1.14057,0.83588,0.00737,0.000737388,0.000737388,0.000737388
64,359.142,0.90456,0.45068,0.0064,0.79519,0.75085,0.76397,0.53045,1.09988,0.92364,0.00721,0.000729725,0.000729725,0.000729725
65,364.328,0.91644,0.45436,0.00642,0.81351,0.75593,0.76379,0.52888,1.15472,0.9141,0.00768,0.000721994,0.000721994,0.000721994
66,369.585,0.87047,0.43782,0.00616,0.79743,0.77458,0.76328,0.53719,1.15542,0.88567,0.00759,0.000714196,0.000714196,0.000714196
67,374.828,0.88592,0.45475,0.00618,0.79304,0.77937,0.76461,0.55113,1.10071,0.86278,0.00704,0.000706335,0.000706335,0.000706335
68,380.237,0.86514,0.42306,0.00597,0.80043,0.75085,0.75499,0.53815,1.07718,0.86845,0.00699,0.000698412,0.000698412,0.000698412
69,385.531,0.87235,0.44545,0.00601,0.7817,0.72833,0.74799,0.52482,1.12498,0.92079,0.00757,0.00069043,0.00069043,0.00069043
70,391.437,0.84963,0.43833,0.00586,0.76954,0.7661,0.76656,0.52286,1.13666,0.90362,0.00768,0.000682392,0.000682392,0.000682392
71,396.759,0.84922,0.4227,0.00579,0.80739,0.74576,0.7565,0.51801,1.14557,0.94224,0.00749,0.0006743,0.0006743,0.0006743
72,402.302,0.86055,0.40809,0.00594,0.80599,0.72524,0.73321,0.49753,1.20707,1.02889,0.008,0.000666156,0.000666156,0.000666156
73,407.639,0.86032,0.41054,0.00599,0.78584,0.74008,0.74536,0.51864,1.1458,0.97264,0.00769,0.000657963,0.000657963,0.000657963
74,412.863,0.83199,0.39475,0.00575,0.80038,0.76441,0.75461,0.53481,1.15005,0.99842,0.00778,0.000649724,0.000649724,0.000649724
75,418.081,0.81915,0.40502,0.00575,0.80269,0.75593,0.74734,0.52181,1.16197,0.95366,0.00789,0.00064144,0.00064144,0.00064144
76,423.426,0.84032,0.40852,0.00575,0.78719,0.71186,0.72671,0.50221,1.17781,1.07673,0.00806,0.000633115,0.000633115,0.000633115
77,428.746,0.82213,0.40628,0.00582,0.8154,0.68875,0.70531,0.4807,1.13193,1.08206,0.00754,0.000624751,0.000624751,0.000624751
